"A category attribute with this code already exists.","A category attribute with this code already exists."
"A number, lower numbers appear first.","A number, lower numbers appear first."
"A tab with this name already exists.","A tab with this name already exists."
"Action","Action"
"Add New Category Attribute","Add New Category Attribute"
"Add New Tab","Add New Tab"
"Add Option","Add Option"
"Admin","Admin"
"Are you sure you want to delete this category attribute?","Are you sure you want to delete this category attribute?"
"Are you sure you want to delete this tab?","Are you sure you want to delete this tab?"
"Attribute Code","Attribute Code"
"Attribute Properties","Attribute Properties"
"Attribute code is required.","Attribute code is required."
"Attribute code may only contain lowercase letters, numbers and underscores, and must start with a letter.","Attribute code may only contain lowercase letters, numbers and underscores, and must start with a letter."
"Attribute code must be 30 characters or fewer.","Attribute code must be 30 characters or fewer."
"Attributes","Attributes"
"Catalog","Catalog"
"Catalog Input Type","Catalog Input Type"
"Category Attribute Tabs","Category Attribute Tabs"
"Category Attribute Tabs (groups manager)","Category Attribute Tabs (groups manager)"
"Category Attributes","Category Attributes"
"Could not delete the attribute: %s","Could not delete the attribute: %s"
"Could not delete the tab: %s","Could not delete the tab: %s"
"Could not save the attribute: %s","Could not save the attribute: %s"
"Could not save the tab: %s","Could not save the tab: %s"
"Date","Date"
"Decimal Number","Decimal Number"
"Define the dropdown / multiselect values. Admin label is required. Tick ""Is Default"" to pre-select. Only used when the input type is Dropdown or Multiple Select.","Define the dropdown / multiselect values. Admin label is required. Tick ""Is Default"" to pre-select. Only used when the input type is Dropdown or Multiple Select."
"Delete","Delete"
"Delete Attribute","Delete Attribute"
"Delete Tab","Delete Tab"
"Dropdown","Dropdown"
"Edit","Edit"
"Edit Category Attribute ""%s""","Edit Category Attribute ""%s"""
"Edit Tab ""%s""","Edit Tab ""%s"""
"Email","Email"
"How admins enter the value on the category edit page.","How admins enter the value on the category edit page."
"ID","ID"
"Input Validation","Input Validation"
"Input Type","Input Type"
"Integer Number","Integer Number"
"Is Default","Is Default"
"Letters","Letters"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) or Numbers (0-9)"
"Lower numbers appear first.","Lower numbers appear first."
"Lowercase letters, numbers and underscores only; must start with a letter. Max 30 chars. Cannot be changed after creation.","Lowercase letters, numbers and underscores only; must start with a letter. Max 30 chars. Cannot be changed after creation."
"Manage Options","Manage Options"
"Media Image","Media Image"
"Multiple Select","Multiple Select"
"New Category Attribute","New Category Attribute"
"New Category Attribute Tab","New Category Attribute Tab"
"New Tab","New Tab"
"No","No"
"None","None"
"Not shared with other categories.","Not shared with other categories."
"Note / Comment","Note / Comment"
"Optional help text shown under the field.","Optional help text shown under the field."
"Please choose a Tab (attribute group) for the attribute.","Please choose a Tab (attribute group) for the attribute."
"Position","Position"
"Save Attribute","Save Attribute"
"Save Tab","Save Tab"
"Sort Order","Sort Order"
"System Tab","System Tab"
"Tab","Tab"
"Tab Properties","Tab Properties"
"Tab name is required.","Tab name is required."
"Text Area","Text Area"
"Text Field","Text Field"
"The category attribute has been deleted.","The category attribute has been deleted."
"The category attribute has been saved.","The category attribute has been saved."
"The category edit-page tab (attribute group) this attribute appears under.","The category edit-page tab (attribute group) this attribute appears under."
"The label shown on the category edit page.","The label shown on the category edit page."
"The tab has been deleted.","The tab has been deleted."
"The tab has been saved.","The tab has been saved."
"The tab title shown on the category edit page.","The tab title shown on the category edit page."
"This category attribute no longer exists.","This category attribute no longer exists."
"This tab no longer exists.","This tab no longer exists."
"Title","Title"
"URL","URL"
"Unique Value","Unique Value"
"User Defined","User Defined"
"Values Required","Values Required"
"Yes","Yes"
"Yes/No","Yes/No"
"""%s"" is a system attribute and cannot be deleted.","""%s"" is a system attribute and cannot be deleted."
"""%s"" is a system tab and cannot be deleted.","""%s"" is a system tab and cannot be deleted."
"""%s"" is a system tab and cannot be renamed.","""%s"" is a system tab and cannot be renamed."
"""%s"" still has %d attribute(s). Move or delete them before removing the tab.","""%s"" still has %d attribute(s). Move or delete them before removing the tab."
